name,address,tags,website,phone,infos_url,latitude,longitude
Casse-Noisette,"92 rue Docteur Vigne
76600 Le Havre","vegetarian, gluten-free",cassenoisettevegetarien.com,09 83 77 58 04,http://vegoresto.fr/resto/casse-noisette,49.4978279,0.1116805
Color Vegan,"23 rue Pailleron
69004 Lyon",vegan,,07 81 81 18 14,http://vegoresto.fr/resto/color-vegan,45.7795252,4.8344111
Crêperie du Port,"32 rue du Port
56000 Vannes",,,02 97 43 40 57,http://vegoresto.fr/resto/creperie-du-port,47.6528155,-2.7594429
Cru en Elle,"Arquejols
43340 Rauret",gluten-free,http://www.cuisine-cruenelle.com/,06 28 07 12 79,http://vegoresto.fr/resto/cru-en-elle,44.806864,3.823243
Cuisine Verte,50000 Saint-Lô,"vegetarian, gluten-free",http://cuisine-verte.com/,07 60 13 13 73,http://vegoresto.fr/resto/cuisine-verte,49.1154686,-1.0828136
De Rode Koe,"85 rue de la Monnaie
59000 Lille","vegetarian, vegan",,09 73 54 79 83,http://vegoresto.fr/resto/de-rode-koe,50.6416511,3.0617516
Declic’Salade,"11 rue du Verdon
67100 Strasbourg",,http://declicsalade.fr/,03 68 62 02 12,http://vegoresto.fr/resto/declicsalade,48.5506921,7.7373544
Delhi Délice,"22 rue Félibre Gaut
13100 Aix-en-Provence",,http://www.delhidelice.fr/,04 42 26 53 06,http://vegoresto.fr/resto/delhi-delice,43.5287445,5.4468156
Des Merveilles dans la Théière,"270 rue des Fusillés 
59650 Villeneuve d&#039;Ascq","vegetarian, vegan, gluten-free",http://dmerveilles.com/,03 62 13 23 05,http://vegoresto.fr/resto/des-merveilles-dans-la-theiere,50.6088221,3.1638427
Do It Yourself Café,"1 boulevard Bigo Danel
59000 Lille",vegan,,Pas de téléphone.,http://vegoresto.fr/resto/do-it-yourself-cafe,50.6275538,3.0420281
Dune,"20 rue Keller
75011 Paris",,http://www.duneparis.fr/,01 43 57 83 15,http://vegoresto.fr/resto/dune,48.8548579,2.3760888
D’Ile en ile,"104 avenue Mourain
L&#039;Herbaudière
85330 Île de Noirmoutier",,www.dileenilenoirmoutier.com/,02 51 39 64 47,http://vegoresto.fr/resto/dile-en-ile,47.0187693,-2.2970561
Ed’s Kitchen,74140 Excenevex,,edskitchen.blogspot.fr/,06 31 75 86 10,http://vegoresto.fr/resto/eds-kitchen,46.354408,6.35295
Elfie,"66 avenue Félix Faure
69003 Lyon",gluten-free,,04 78 42 68 13,http://vegoresto.fr/resto/elfie,45.7528665,4.8542937
FoodLinK,68100 Mulhouse,"vegan, gluten-free",,06 25 81 12 13,http://vegoresto.fr/resto/foodlink,47.7413496,7.3456857
Ganesha,"46, rue de Zurich
67000 Strasbourg",,www.restaurantganesha.com,03 88 35 39 14,http://vegoresto.fr/resto/ganesha,48.5794446,7.7581431
Gentle Gourmet Café,"24 Boulevard de la Bastille
75012 Paris","vegan, gluten-free",www.gentlegourmetcafe.com/,01 43 43 48 49,http://vegoresto.fr/resto/gentle-gourmet-cafe,48.849026,2.3682651
Gourmet d’Asie,"Rue Van Artevelde 14
1000 Bruxelles",,,25031357,http://vegoresto.fr/resto/gourmet-dasie,50.8484557,4.3473484
Grand Appétit,"9 rue de la Cerisaie
75004 Paris",vegan,legrandappetit.fr/index.php,01 40 27 04 95,http://vegoresto.fr/resto/grand-appetit,48.8516549,2.366406
Greedy,"62 - 64 rue du Hâ
33000 Bordeaux","vegetarian, vegan, gluten-free",,05 35 38 41 18,http://vegoresto.fr/resto/greedy,44.8359895,-0.5783287
Greedy Guts,"15 rue de bras
14000 Caen","vegetarian, vegan",restaurant-vegetarien-vegan-normandie.fr/,02 31 93 38 52,http://vegoresto.fr/resto/greedy-guts,49.1823554,-0.3648305
GreenDeliss,"11 avenue du Maréchal Foch
13004 Marseille","vegetarian, vegan",www.greendeliss.fr/,04 88 00 08 60,http://vegoresto.fr/resto/greendeliss,43.3020502,5.3978528
GRRRfood,"Halles de Sérignan
Boulevard Voltaire
34410 Sérignan","vegetarian, vegan",grrrfood.blogspot.fr/,07 83 13 11 67,http://vegoresto.fr/resto/grrrfood,43.2821456,3.2791296
Guantanamera,"47 rue Pajol
75018 paris",,http://www.guantanamera.fr/,09 54 78 48 81,http://vegoresto.fr/resto/guantanamera,48.8890181,2.3623197
Hank,"55 rue des Archives
75003 Paris","vegan, gluten-free",www.hankburger.com/,09 72 44 03 99,http://vegoresto.fr/resto/hank,48.8615751,2.3582934
Himalaya,"17 rue Benoît Bunico
06300 Nice",,,09 84 25 44 71,http://vegoresto.fr/resto/himalaya,43.6974435,7.2769037
Indian House,"23 rue Royale
59800 Lille",,http://www.indianhouse.fr/,03 20 31 38 43,http://vegoresto.fr/resto/indian-house,50.6394572,3.0580759
Izba,"11 Cours Fénelon
24000 Périgueux",vegetarian,http://www.restaurant-izba.com/Accueil.html,05 53 09 37 51,http://vegoresto.fr/resto/izba,45.182301,0.7199462
Jin Ji Table Coréenne,"23 rue des Mines
31700 Blagnac",,http://www.jinjiresto.com/,05 61 15 71 00,http://vegoresto.fr/resto/jin-ji-table-coreenne,43.6362749,1.3915591
Kogi,"36 Rue de l&#039;Empereur
45000 Orléans",,http://www.restaurant-orleans-kogi.fr/restaurant-orleans,09 50 00 04 48,http://vegoresto.fr/resto/kogi,47.8997588,1.9079079
Krishna,"13 Rue Delescluze
87000 Limoges",,restaurant-krishna.e-monsite.com/,05 55 33 19 76,http://vegoresto.fr/resto/krishna,45.8274053,1.2616544
La Baie du Dragon,"8 place Notre-Dame du Mont
13006 Marseille",,,04 91 92 74 78,http://vegoresto.fr/resto/la-baie-du-dragon,43.2920007,5.3835895
La Belle Verte,"50 rue d&#039;Aubuisson
31000 Toulouse","vegetarian, vegan, gluten-free",labellevertebio.com,05 61 62 73 42,http://vegoresto.fr/resto/la-belle-verte,43.6029589,1.4538
La BerGamoThée,"1 place du Mazet
63000 Clermont-Ferrand","vegetarian, vegan, gluten-free",www.labergamothee.fr/,06 43 97 77 70,http://vegoresto.fr/resto/la-bergamothee,45.7794131,3.0844248
La CaraVegan,"87 route de Monlon
Camping Du Gaoucher
40560 Vielle Saint Girons",vegan,www.lacaravegan.eu,06 01 71 06 30,http://vegoresto.fr/resto/la-caravegan,43.9037325,-1.2918567
La Casa Della Piadina,"52 rue Gioffredo
06000 Nice",,,04 22 09 58 55,http://vegoresto.fr/resto/la-casa-della-piadina,43.69897,7.2721078
La Corée,"40 avenue Jean Jaurès
69007 Lyon",,restolacoree.com,09 82 27 82 15,http://vegoresto.fr/resto/la-coree,45.7509798,4.8450247
La cuisine de Johanna,"44 Cours Anatole France
33000 Bordeaux","vegetarian, vegan",www.lacuisinedejohanna.com/,05 56 35 81 03,http://vegoresto.fr/resto/la-cuisine-de-johanna,44.8355503,-0.5836331
La Cuisine Mobile,84400 Apt,"vegetarian, gluten-free",,06 52 69 62 65,http://vegoresto.fr/resto/la-cuisine-mobile,43.8728272,5.4149003
La Flambée des Mille Poètes,"2 b Avenue Elie Sermet
11100 Narbonne",gluten-free,http://restomillepoetes.unblog.fr/,04 68 65 15 87,http://vegoresto.fr/resto/la-flambee-des-mille-poetes,43.1871086,3.0088753
La Folie Douce,"111 Boulevard de Ménilmontant
75011 Paris","vegetarian, vegan, gluten-free",lafoliedoucebar.free.fr/accueil.html,06 77 45 80 30,http://vegoresto.fr/resto/la-folie-douce,48.8652807,2.3841781
La Maison du Vert,"Le bourg
61120 Ticheville",vegetarian,http://www.maisonduvert.com/index_f.htm,02 33 36 95 84,http://vegoresto.fr/resto/la-maison-du-vert,48.9093063,0.2632581
La Maison Thaï,"85 rue Masséna
69006 Lyon",,www.lamaisonthai.fr/,04 78 24 85 45,http://vegoresto.fr/resto/la-maison-thai,45.7665634,4.8549878
La Parenthèse,"26 rue de la Justice
68100 Mulhouse","vegetarian, vegan, gluten-free",,03 89 56 08 47,http://vegoresto.fr/resto/la-parenthese,47.7481484,7.341099
La Pause Quinoa,"33 rue du jeu des enfants
67000 Strasbourg","vegetarian, vegan, gluten-free",,09 50 66 20 64,http://vegoresto.fr/resto/la-pause-quinoa,48.5837877,7.7427599
Ardèche.,Sud de l&#039,"vegan, gluten-free",,06 62 43 81 25,4.3770704,La Pause Verte,44.5981671
La Provinciale,"Route de Draguignan
Rés. le grand chemin
06530 Le Tignet",,www.laprovincialepizzas.fr/,04 93 09 35 93,http://vegoresto.fr/resto/la-provinciale,43.639995,6.846153
La révolution verte,"5 rue du théâtre
66000 Perpignan","vegan, gluten-free",,06 95 30 00 66,http://vegoresto.fr/resto/la-revolution-verte,42.6983003,2.8962433
La Romana,"11 avenue Pierre Renaudel
83400 Hyères","vegetarian, vegan, gluten-free",laromana-hyeres.com/,04 94 57 45 07,http://vegoresto.fr/resto/la-romana,43.109366,6.1262097
La Saigonnaise,"2 place de la Madeleine
56000 Vannes",,http://www.la-saigonnaise.com/,02 97 68 49 80,http://vegoresto.fr/resto/la-saigonnaise,47.6591887,-2.7714863
La Soupape,"187, av. Gambetta
16000 Angoulême",,,09 86 27 34 98,http://vegoresto.fr/resto/la-soupape,45.6500903,0.1608885
La Table des Roy,"4 rue des Trois Croissants
44000 Nantes",gluten-free,www.latabledesroy.fr/,02 40 20 33 86,http://vegoresto.fr/resto/la-table-des-roy,47.2167998,-1.5548616
La table du Petit Chaouen,"27 rue des soeurs Macaron
54000 Nancy","vegetarian, vegan",,03 83 32 17 64,http://vegoresto.fr/resto/la-table-du-petit-chaouen,48.6885731,6.1849016
La tête de chou,"14 rue des 3 rois
68100 Mulhouse","vegetarian, vegan",www.tetedechou.fr/,03 89 46 22 17,http://vegoresto.fr/resto/la-tete-de-chou,47.7443154,7.334278
La Vegan Mobile,"Coulaine
49170 Savennières","vegan, gluten-free",,06 65 61 79 20,http://vegoresto.fr/resto/la-vegan-mobile,47.4269346,-0.7579788
La Vie est Belle,"41  rue Jean Jaurès
42300 Roanne",gluten-free,,06 15 32 38 85,http://vegoresto.fr/resto/la-vie-est-belle,46.0343753,4.0744029
Las Vegans,"30 boulevard Bonne Nouvelle
75010 Paris",vegan,,à venir,http://vegoresto.fr/resto/las-vegans,48.8707923,2.3499013
Le Bistrot de l’Ile,"17 rue de la Tour d&#039;Auvergne
44200 Nantes","vegetarian, vegan, gluten-free",http://le-bistrot-de-l-ile.blogspot.fr/,02 40 47 92 35,http://vegoresto.fr/resto/le-bistrot-de-lile,47.2065125,-1.5548494
Le Capoul,"13 place Wilson
31000 Toulouse",,http://www.capoul.com/,05 61 21 08 27,http://vegoresto.fr/resto/le-capoul,43.6051529,1.4468241
Le Cèdre,"20 rue Kervegan
44000 Nantes",,www.lecedre-restaurant.fr/,02 40 20 15 61,http://vegoresto.fr/resto/le-cedre,47.2130494,-1.5555827
Le Cedrus,"2271 corniche Georges Pompidou
83500 La Seyne sur Mer",,,04 89 29 34 72,http://vegoresto.fr/resto/le-cedrus,43.0807073,5.8940199
Le coq à l’âne,"17 place du Général de Gaulle
56000 Vannes",,,02 97 42 56 74,http://vegoresto.fr/resto/le-coq-a-lane,47.6584591,-2.7536984
Le Cosmopolis,"15 rue Saint François
33000 Bordeaux",gluten-free,,09 52 38 80 54,http://vegoresto.fr/resto/le-cosmopolis,44.8344656,-0.5676783
Le Domaine de la Reynaude,"Les Sonnaillets
13121 Aurons",,http://www.domainedelareynaude.com/fr/,04 90 59 30 24,http://vegoresto.fr/resto/le-domaine-de-la-reynaude,43.664817,5.1555419
Le Girouet,"14 Quai du Châtelet
45000 Orléans",,http://www.legirouet.com/,02 38 81 07 14,http://vegoresto.fr/resto/le-girouet,47.8981173,1.9120278
Le Grenier de Notre-Dame,"18 rue de la Bûcherie
75005 Paris","vegetarian, vegan",http://www.legrenierdenotredame.fr/,01 43 29 98 29,http://vegoresto.fr/resto/le-grenier-de-notre-dame,48.8519396,2.3484647
Le haricot vivant,"15 avenue du Pinsan
33370 Artigues","vegetarian, vegan, gluten-free",leharicotvivant.com,06 03 62 08 40,http://vegoresto.fr/resto/le-haricot-vivant,44.8597164,-0.4896546
Lê Lai,"29 Cours John Fitzgerald Kennedy
35000 Rennes",,,02 99 54 07 38,http://vegoresto.fr/resto/le-lai,48.1214174,-1.7089775
Le Lift,"5 rue de la Poterne
45000 Orléans",,http://www.restaurant-le-lift.com/la_carte.php,02 38 62 40 00,http://vegoresto.fr/resto/le-lift,47.8986733,1.9093066
Le Liquium,"71 rue Jeanne d&#039;Arc
59000 Lille",vegan,,03 62 92 91 41,http://vegoresto.fr/resto/le-liquim,50.624249,3.0644182
Le Mâchon fin,"52 rue de la Poste
69220 Belleville-sur-Saône",,www.lemachonfin.fr/,04 74 66 28 06,http://vegoresto.fr/resto/le-machon-fin,46.1105745,4.7507092
Le Mékong d’Or,"11 rue des Tanneurs
70400 Héricourt",,http://lemekongdor.com/,03 84 56 84 17,http://vegoresto.fr/resto/le-mekong-dor,47.575489,6.7596139
Le Pigeonnier du Perron,"Lieu dit Le Perron
86530 Availles En Châtellerault",gluten-free,http://www.lepigeonnierduperron.com/fr/,05 49 19 76 08,http://vegoresto.fr/resto/le-pigeonnier-du-perron,46.757621,0.568742
Le Potager de Charlotte,"12 rue de la Tour d&#039;Auvergne
75009 Paris","vegan, gluten-free",http://lepotagerdecharlotte.fr/,01 44 65 09 63,http://vegoresto.fr/resto/le-potager-de-charlotte,48.8790612,2.3447297
Le Potager du Marais,"24 rue Rambuteau
75003 Paris","vegan, gluten-free",http://www.lepotagerdumarais.fr/Potager_du_Marais/Le_Potager_du_Marais.html,01 57 40 98 57,http://vegoresto.fr/resto/le-potager-du-marais,48.8610455,2.3540283
Le P’tit Ogre,"1 rue des Pénitents Gris
31000 Toulouse",,http://www.restaurant-petit-ogre.com/,06 51 63 73 21,http://vegoresto.fr/resto/le-ptit-ogre,43.6055946,1.442558
Le Roi Falafel,"30 Rue Palais Grillet
69002 Lyon",,www.le-roi-falafel.com/,04 69 67 31 97,http://vegoresto.fr/resto/le-roi-falafel,45.7619768,4.8351385
Le Saint Germain Des Champs,"12 rue du Vau Saint Germain
35000 Rennes","vegetarian, gluten-free",,02 99 79 25 52,http://vegoresto.fr/resto/le-saint-germain-des-champs,48.1106624,-1.6770265
Le Saint-Exupéry,"8 rue des Orfèvres
56000 Vannes",,,02 97 47 28 18,http://vegoresto.fr/resto/le-saint-exupery,47.6569274,-2.7575202
Le Samovar,"18 rue Camille Sauvageau
33800 Bordeaux",vegetarian,http://www.lesamovar.ouvaton.org/,05 56 74 47 91,http://vegoresto.fr/resto/le-samovar,44.8333505,-0.5648239
Le Sarah B.,"9 quai Saint-Antoine
56130 La Roche-Bernard",,http://www.lesarahb.fr/Accueil.html,02 99 90 74 60,http://vegoresto.fr/resto/le-sarah-b,47.5176743,-2.3032741
Le Shanti,"69 rue Berbisey
21000 Dijon",vegetarian,http://leshanti.unblog.fr/,09 81 09 09 31,http://vegoresto.fr/resto/le-shanti,47.3175914,5.0348979
Le soleil d’Asmara,"4 rue Delille
06000 Nice",,http://www.lesoleildasmarachezelsa.com/,04 93 76 84 18,http://vegoresto.fr/resto/le-soleil-dasmara,43.7012641,7.2773397
Le Speakeasy,"7 rue Lamartine
06000 Nice","vegan, gluten-free",,04 93 85 59 50,http://vegoresto.fr/resto/le-speakeasy,43.7016506,7.2691703
Le Stammtisch,"1 place Turenne
68230 Turckheim",,,03 89 27 55 04,http://vegoresto.fr/resto/le-stammtisch,48.0866344,7.2781693
Le Touareg,"22 Rue des Marchands
68000 Colmar",,,03 89 41 13 01,http://vegoresto.fr/resto/le-touareg,48.0769536,7.3571586
Le Treseaur,"185 avenue du Mont de Boisy
74890 Bons en Chablais","vegetarian, vegan",www.restaurant-bonsenchablais.fr/,04 50 36 33 22,http://vegoresto.fr/resto/le-treseaur,46.2730222,6.3609431
Le Veganovore,"55 rue de Paradis
75010 Paris","vegan, gluten-free",,01 48 24 90 06,http://vegoresto.fr/resto/le-veganovore,48.8755834,2.3487668
Le Yak,"133 Rue François Perrin
87000 Limoges",,,05 55 34 28 82,http://vegoresto.fr/resto/le-yak,45.8272512,1.2397855
Le Yéti,"21 rue de la Colombette
31000 Toulouse",,http://www.restoyeti.com/,05 61 62 80 22,http://vegoresto.fr/resto/le-yeti,43.6044198,1.4526065
Lecocq&Folks,"5 rue St Vincent
56000 Vannes",gluten-free,,02 97 54 19 17,http://vegoresto.fr/resto/lecocqfolks,47.6548095,-2.7580241
Les amants du marché,"1 rue Bourbaki
64000 Pau","vegetarian, vegan, gluten-free",www.lesamantsdumarche.fr/,05 59 02 75 51,http://vegoresto.fr/resto/les-amants-du-marche,43.3031226,-0.3710491
Les carottes sont cuites,"7, rue du moulin
24620 Les Eyzies","vegetarian, gluten-free",,06 45 39 25 52,http://vegoresto.fr/resto/les-carottes-sont-cuites,44.9360513,1.0147169
Les crêpes à Babet’,26 Nyons,"vegetarian, vegan, gluten-free",,06 42 61 24 02,http://vegoresto.fr/resto/les-crepes-a-babet,44.3618809,5.140145
Les délices de Gigi,"67 avenue Ledru Rollin
94170 Le Perreux Sur Marne","vegan, gluten-free",www.lesdelicesdegigi.com/,01 43 24 07 53,http://vegoresto.fr/resto/les-delices-de-gigi,48.84264,2.502401
Les Délices de Leilla,"97 rue de Finlande
81000 Albi","vegan, gluten-free",lacrusinedeleilla.wordpress.com/,06 84 00 65 36,http://vegoresto.fr/resto/les-delices-de-leilla,43.9257895,2.1307147
Les Deux Abbesses,"Le petit couvent
43300 St Arcons d&#039;Allier","vegetarian, vegan, gluten-free",www.lesdeuxabbesses.com/intro/index.html,06 76 82 85 10,http://vegoresto.fr/resto/les-deux-abbesses,45.068254,3.549557
Les Petits Zozios,"35 rue des Jardins
57000 Metz","vegan, gluten-free",www.crusine.org/default.html,06 29 71 49 14,http://vegoresto.fr/resto/les-petits-zozios,49.1220943,6.1779548
Les potes au Feu,"7 place d’Irlande
56860 Séné",gluten-free,http://www.les-potes-au-feu.fr/,02 97 62 15 80,http://vegoresto.fr/resto/les-potes-au-feu,47.6514018,-2.7204961
"Les Puces, Boutique Solidaire","1 Avenue Général de Gaulle
29246 Poullaouen",,,06 89 03 04 62,http://vegoresto.fr/resto/les-puces-boutique-solidaire,48.3395668,-3.641317
Les Remparts,"6 Rue Alexandre le Pontois
56000 Vannes",,,02 97 47 52 44,http://vegoresto.fr/resto/les-remparts,47.6546571,-2.7565117
Lilli et le Vegabon,06000 Nice,"vegetarian, vegan, gluten-free",http://www.lillietlevegabon.com/,06 12 27 87 98,http://vegoresto.fr/resto/lili-et-le-vegabon,43.7101728,7.2619532
Londonewyork,"77 rue de Lodi
13006 Marseille","vegan, gluten-free",,06 20 54 45 92,http://vegoresto.fr/resto/londonewyork,43.2894616,5.387347
Loving Hut Menton,"649 promenade du soleil
06500 Menton",vegan,menton.lovinghut.fr/,04 92 07 32 57,http://vegoresto.fr/resto/loving-hut-menton,43.7700846,7.4934311
Loving Hut Paris,"92 boulevard Beaumarchais
75011 Paris",gluten-free,paris.lovinghut.fr/,01 48 06 43 84,http://vegoresto.fr/resto/loving-hut-paris,48.8598848,2.3678546
Lulu – Graine d’un monde,"12 rue de la Poste
21000 Dijon","vegan, gluten-free",http://www.lulu-dijon.com/,09 86 31 65 46,http://vegoresto.fr/resto/lulu-graine-dun-monde,47.3234548,5.0365145
L’Acoustic,"5 place du Marché Vert
67600 Sélestat","vegetarian, vegan",www.restobiolacoustic.com/,03 88 92 29 40,http://vegoresto.fr/resto/lacoustic,48.2595149,7.4556328
L’Effet Papillon,"22 rue de Douarnenez
29000 Quimper",gluten-free,http://leffet-papillon.blogspot.fr/,02 98 74 29 25,http://vegoresto.fr/resto/leffet-papillon,47.9974667,-4.1097003
L’Entrechoc,"20 place Valencia
56000 Vannes",gluten-free,,09 83 85 53 88,http://vegoresto.fr/resto/lentrechoc,47.6568428,-2.7574101
L’Escargot de Sab,"1 avenue Roger Varrey
89300 Joigny",vegan,www.lescargotdesab.fr/,03 86 62 10 38,http://vegoresto.fr/resto/lescargot-de-sab,47.9806706,3.401498
L’Essentiel,"9 rue Rachais
69003 Lyon",,www.restaurantlessentiel.fr/,04 69 70 88 00,http://vegoresto.fr/resto/lessentiel,45.7519394,4.8541192
L’inattendu(e),"1 rue Biovès
Monaco",gluten-free,http://vitasensys.eu/food/restaurant.php,377 97 98 81 46,http://vegoresto.fr/resto/linattendue,43.7327247,7.4164234
Magnaleda,"6110 Route d&#039;Avignon
13540 Aix-en-Provence",gluten-free,http://www.magnaleda-restaurantbion.com,04 42 28 00 80,http://vegoresto.fr/resto/magnaleda,43.5849462,5.3715324
Manger Autrement,"155 Grande rue Saint-Michel
31400 Toulouse","vegetarian, vegan, gluten-free",www.manger-autrement.com/,05 61 32 68 41,http://vegoresto.fr/resto/manger-autrement,43.5910499,1.4447411
Marcel et Suzon,"6, Grand&#039;Rue
90000 Belfort","vegetarian, gluten-free",,03 63 78 56 63,http://vegoresto.fr/resto/marcel-et-suzon,47.639366,6.863227
Marcovaldo,"61, rue Charlot
75003 Paris",,http://www.marcovaldo.fr/,09 80 44 86 49,http://vegoresto.fr/resto/marcovaldo,48.8637677,2.3633151
Meshur Adiyaman Cigkoftesi (Bourgoin-Jallieu),"88 Rue de la République 
38300 Bourgoin-Jallieu",vegetarian,http://www.adiyamancigkoftecisi.com/,06 12 68 11 91,http://vegoresto.fr/resto/meshur-adiyaman-cigkoftesi-bourgoin-jallieu,45.5855751,5.2720379
Mezzaluna,"10 rue Léon Gambetta
62000 Arras",vegan,mezzalunaarras.com/,03 21 22 89 63,http://vegoresto.fr/resto/mezzaluna,50.2877239,2.7797696
Mon Petit Liban,"64 avenue Garibaldi
87000 Limoges",,http://www.monpetitliban.com/,05 55 79 07 37,http://vegoresto.fr/resto/mon-petit-liban,45.8378012,1.2589972
My Free Kitchen,"1 bis rue Bleue
75009 Paris",gluten-free,http://www.myfreekitchen.com/,01 48 01 67 64,http://vegoresto.fr/resto/my-free-kitchen,48.8756913,2.3477274
My Kitch’n,"82 rue Lemercier
75017 Paris","vegan, gluten-free",www.mykitchn.fr,06 16 15 44 74,http://vegoresto.fr/resto/my-kitchn,48.8886441,2.3204164
